,城市,起始時間,結束時間,最低溫度,最高溫度,感覺
0,嘉義縣,2024-01-03 18:00:00,2024-01-04 06:00:00,11.0,16.0,寒冷至稍有寒意
1,新北市,2024-01-03 18:00:00,2024-01-04 06:00:00,13.0,15.0,寒冷
2,嘉義市,2024-01-03 18:00:00,2024-01-04 06:00:00,12.0,17.0,寒冷至稍有寒意
3,新竹縣,2024-01-03 18:00:00,2024-01-04 06:00:00,12.0,13.0,寒冷
4,新竹市,2024-01-03 18:00:00,2024-01-04 06:00:00,11.0,13.0,寒冷
5,臺北市,2024-01-03 18:00:00,2024-01-04 06:00:00,13.0,15.0,寒冷
6,臺南市,2024-01-03 18:00:00,2024-01-04 06:00:00,13.0,17.0,寒冷至稍有寒意
7,宜蘭縣,2024-01-03 18:00:00,2024-01-04 06:00:00,12.0,16.0,寒冷至稍有寒意
8,苗栗縣,2024-01-03 18:00:00,2024-01-04 06:00:00,11.0,13.0,寒冷
9,雲林縣,2024-01-03 18:00:00,2024-01-04 06:00:00,11.0,16.0,寒冷至稍有寒意
10,花蓮縣,2024-01-03 18:00:00,2024-01-04 06:00:00,15.0,18.0,寒冷至稍有寒意
11,臺中市,2024-01-03 18:00:00,2024-01-04 06:00:00,13.0,16.0,寒冷至稍有寒意
12,臺東縣,2024-01-03 18:00:00,2024-01-04 06:00:00,16.0,20.0,稍有寒意
13,桃園市,2024-01-03 18:00:00,2024-01-04 06:00:00,12.0,13.0,寒冷
14,南投縣,2024-01-03 18:00:00,2024-01-04 06:00:00,12.0,17.0,寒冷至稍有寒意
15,高雄市,2024-01-03 18:00:00,2024-01-04 06:00:00,15.0,21.0,寒冷至舒適
16,金門縣,2024-01-03 18:00:00,2024-01-04 06:00:00,12.0,14.0,寒冷
17,屏東縣,2024-01-03 18:00:00,2024-01-04 06:00:00,14.0,21.0,寒冷至舒適
18,基隆市,2024-01-03 18:00:00,2024-01-04 06:00:00,13.0,15.0,寒冷
19,澎湖縣,2024-01-03 18:00:00,2024-01-04 06:00:00,15.0,16.0,寒冷至稍有寒意
20,彰化縣,2024-01-03 18:00:00,2024-01-04 06:00:00,13.0,16.0,寒冷至稍有寒意
21,連江縣,2024-01-03 18:00:00,2024-01-04 06:00:00,10.0,11.0,寒冷
